email,firstName,lastName,dob,gender,roleName,cid,gpa
susan.white0@icloud.com,Susan,White,1977-05-12,OTHER,ROLE_STUDENT,5c890b95-b10d-48fe-ae3b-719c69f6135b,3.15
daniel.anderson1@hotmail.com,Daniel,Anderson,1993-05-14,OTHER,ROLE_STUDENT,57a14b4b-d164-4487-a5a3-a92102b64601,0.78
sandra.stewart2@yahoo.com,Sandra,Stewart,1970-03-23,OTHER,ROLE_INSTRUCTOR,e7597aaa-3f9f-409b-aecc-470134876449,
dorothy.evans3@mail.com,Dorothy,Evans,1974-04-13,OTHER,ROLE_STUDENT,feccf8d0-3ced-42d4-940e-a93906ab8969,1.71
jacob.lee4@proton.me,Jacob,Lee,1989-02-28,MALE,ROLE_STUDENT,b691e786-0a33-48f5-bbfe-6c8bd3cb7b53,0.83
sarah.moore5@outlook.com,Sarah,Moore,2003-08-25,OTHER,ROLE_STUDENT,132db3d5-e795-4a50-9ce1-95ab0330d687,0.2
sarah.williams6@proton.me,Sarah,Williams,1993-05-24,OTHER,ROLE_STUDENT,b93f1db4-2ef6-423a-aeda-581f7de12fa8,3.1
donald.scott7@yahoo.com,Donald,Scott,1986-03-31,OTHER,ROLE_STUDENT,6c99f160-2d26-41c5-a9e4-10e2ee283d37,2.35
betty.hall8@hotmail.com,Betty,Hall,1998-04-12,MALE,ROLE_STUDENT,12f790ce-5d86-4810-b7dd-3b6c6af8b5b6,2.93
matthew.moore9@mail.com,Matthew,Moore,1986-10-08,MALE,ROLE_STUDENT,63a9d324-c9ff-48a6-9021-a77cce448649,3.0
ashley.stewart10@mail.com,Ashley,Stewart,1997-07-16,OTHER,ROLE_STUDENT,7f1a4e6f-f296-4db9-9309-79f27fd214f0,3.41
george.scott11@yahoo.com,George,Scott,2000-11-03,OTHER,ROLE_INSTRUCTOR,2ea792c9-47b2-45fc-86bd-d54c4dc5f719,
nancy.brown12@mail.com,Nancy,Brown,2003-11-22,MALE,ROLE_STUDENT,331d3df8-527e-470c-ac10-1a3b95ac2c26,2.22
anthony.garcia13@yahoo.com,Anthony,Garcia,1997-01-03,OTHER,ROLE_STUDENT,cc870226-81fd-4ce7-b07c-0cc338dde7c6,2.09
karen.turner14@outlook.com,Karen,Turner,2004-02-03,MALE,ROLE_SECRETARY,3473a897-6cac-43d3-a675-407be6d622df,
lisa.young15@mail.com,Lisa,Young,2001-05-27,OTHER,ROLE_STUDENT,e2a73457-19b6-4a52-8292-4b3daf053054,1.75
jacob.hernandez16@hotmail.com,Jacob,Hernandez,1994-06-08,OTHER,ROLE_STUDENT,7b51ec34-88b9-4e72-92bb-c0f7f8b6c075,1.63
jennifer.lewis17@yahoo.com,Jennifer,Lewis,1970-07-21,FEMALE,ROLE_STUDENT,3e98d2f2-a9ea-4af8-a25a-edf9c879173d,1.78
mary.young18@mail.com,Mary,Young,1976-11-03,OTHER,ROLE_STUDENT,84e697ed-7319-4561-83eb-afb8c2606312,0.76
ronald.harris19@outlook.com,Ronald,Harris,1987-07-01,FEMALE,ROLE_STUDENT,42098f9a-a92d-42d8-9203-78b71d6a091c,3.99
sarah.jones20@outlook.com,Sarah,Jones,1987-08-26,OTHER,ROLE_STUDENT,9f634aca-378b-4d51-a5c3-398b0dbb288d,3.33
